70.7873,-159.4625,20.64
70.7908,-159.3397,20.62
70.7941,-159.2168,20.61
70.7974,-159.0939,20.65
70.8006,-158.971,20.63
70.8038,-158.848,20.69
70.8155,-158.3558,20.91
70.8182,-158.2327,20.98
70.8209,-158.1095,20.99
70.8235,-157.9863,21.06
70.826,-157.8631,21.15
70.8284,-157.7399,21.24
70.8307,-157.6166,21.28
70.833,-157.4933,21.38
70.8352,-157.37,21.44
70.8373,-157.2466,21.5
70.8393,-157.1233,21.58
70.8413,-156.9999,21.66
70.8432,-156.8765,21.75
70.845,-156.753,21.8
70.8467,-156.6296,21.85
70.8483,-156.5061,21.93
70.8499,-156.3827,22
70.8513,-156.2592,22.08
70.8528,-156.1356,22.17
70.8541,-156.0121,22.2
70.8586,-155.5179,22.55
70.8595,-155.3943,22.6
70.8604,-155.2707,22.72
70.8611,-155.1471,22.77
70.8618,-155.0235,22.89
70.8624,-154.8998,22.96
70.863,-154.7762,23.09
70.8634,-154.6526,23.22
70.8645,-153.9107,24.4
70.8644,-153.7871,24.61
70.8642,-153.6634,24.82
70.864,-153.5398,25.06
70.8636,-153.4161,25.27
70.8632,-153.2925,25.42
70.8627,-153.1689,25.57
70.8622,-153.0452,25.65
70.8615,-152.9216,25.73
70.8608,-152.798,25.81
70.86,-152.6744,25.75
70.8591,-152.5508,25.69
70.8581,-152.4272,25.62
70.7343,-159.82,20.81
70.738,-159.6975,20.78
70.7416,-159.575,20.7
70.7451,-159.4524,20.68
70.7485,-159.3298,20.66
70.7519,-159.2072,20.71
70.7552,-159.0845,20.69
70.7584,-158.9618,20.74
70.7615,-158.839,20.74
70.7645,-158.7163,20.79
70.7675,-158.5935,20.85
70.7704,-158.4706,20.91
70.7732,-158.3477,20.97
70.7759,-158.2248,21.04
70.7786,-158.1019,21.12
70.7812,-157.9789,21.14
70.7837,-157.8559,21.23
70.7861,-157.7329,21.32
70.7884,-157.6099,21.36
70.7907,-157.4868,21.41
70.7929,-157.3637,21.53
70.795,-157.2406,21.6
70.797,-157.1175,21.67
70.799,-156.9943,21.7
70.8008,-156.8711,21.79
70.8026,-156.7479,21.84
70.8043,-156.6247,21.95
70.806,-156.5015,22.03
70.8075,-156.3782,22.1
70.809,-156.255,22.17
70.8104,-156.1317,22.19
70.8117,-156.0084,22.28
70.813,-155.8851,22.38
70.8141,-155.7617,22.42
70.8152,-155.6384,22.52
70.8162,-155.5151,22.62
70.8171,-155.3917,22.67
70.818,-155.2683,22.79
70.8188,-155.1449,22.84
70.8195,-155.0216,22.96
70.8201,-154.8982,23.09
70.8206,-154.7748,23.21
70.8211,-154.6514,23.34
70.8214,-154.528,23.47
70.8217,-154.4045,23.67
70.8219,-154.2811,23.81
70.8221,-153.9109,24.45
70.822,-153.7874,24.66
70.8219,-153.664,24.89
70.8216,-153.5406,25.1
70.8213,-153.4172,25.31
70.8209,-153.2938,25.46
70.8204,-153.1704,25.61
70.8198,-153.047,25.68
70.8192,-152.9236,25.76
70.8184,-152.8002,25.77
70.8176,-152.6769,25.78
70.8167,-152.5535,25.72
70.8158,-152.4301,25.65
70.8147,-152.3068,25.51
70.6884,-159.9315,20.99
70.6922,-159.8093,20.9
70.6958,-159.687,20.82
70.6994,-159.5647,20.8
70.7029,-159.4424,20.78
